"Address",Latitude,Longitude
"AB10 1",57.1424,-2.10601
"AB10 6",57.1347,-2.11899
"AB10 7",57.1249,-2.13087
"AB11 5",57.1421,-2.08976
"AB11 6",57.1383,-2.1032
"AB11 7",57.1327,-2.1015
"AB11 8",57.1335,-2.08177
"AB11 9",57.1338,-2.08409
"AB12 3",57.1072,-2.08947
"AB12 4",57.0688,-2.13142
"AB12 5",57.1122,-2.12863
"AB13 0",57.1124,-2.24311
"AB14 0",57.1034,-2.27277
"AB15 4",57.1429,-2.13757
"AB15 5",57.1491,-2.136
"AB15 6",57.1478,-2.16141
"AB15 7",57.1322,-2.14821
"AB15 8",57.1454,-2.19523
"AB15 9",57.1204,-2.18354
"AB16 5",57.1594,-2.14858
"AB16 6",57.1545,-2.16724
"AB16 7",57.1672,-2.15776
"AB21 0",57.2323,-2.22797
"AB21 7",57.2092,-2.18295
"AB21 9",57.181,-2.18206
"AB22 8",57.1864,-2.11923
"AB23 8",57.2096,-2.08946
"AB24 1",57.1684,-2.09547
"AB24 2",57.1708,-2.11933
"AB24 3",57.1616,-2.10515
"AB24 4",57.166,-2.12738
"AB24 5",57.1552,-2.09345
"AB25 1",57.1515,-2.10746
"AB25 2",57.1511,-2.11979
"AB25 3",57.1576,-2.11474
"AB30 1",56.8457,-2.47759
"AB31 4",57.0994,-2.60695
"AB31 5",57.063,-2.46108
"AB31 6",57.0361,-2.47995
"AB32 6",57.1526,-2.30048
"AB32 7",57.1684,-2.41187
"AB33 8",57.2261,-2.73684
"AB34 4",57.1309,-2.85709
"AB34 5",57.0798,-2.79414
"AB35 5",57.0391,-3.14388
"AB36 8",57.1965,-3.07253
"AB37 9",57.3309,-3.35309
"AB38 7",57.5034,-3.25242
"AB38 9",57.4741,-3.21116
"AB39 2",56.9609,-2.2203
"AB39 3",57.0011,-2.2152
"AB41 6",57.3169,-2.07952
"AB41 7",57.3883,-2.20213
"AB41 8",57.3965,-2.05823
"AB41 9",57.366,-2.07756
"AB42 0",57.4309,-1.88303
"AB42 1",57.5087,-1.78952
"AB42 2",57.5007,-1.80196
"AB42 3",57.5094,-1.82386
"AB42 4",57.5315,-2.00843
"AB42 5",57.5051,-2.03571
"AB43 6",57.6061,-2.15612
"AB43 7",57.6701,-2.08273
"AB43 8",57.6418,-1.94722
"AB43 9",57.6889,-2.01543
"AB44 1",57.6682,-2.49306
"AB45 1",57.665,-2.5278
"AB45 2",57.657,-2.67215
"AB45 3",57.6367,-2.46838
"AB51 0",57.2919,-2.34682
"AB51 3",57.2791,-2.37625
"AB51 4",57.2897,-2.3904
"AB51 5",57.2815,-2.44072
"AB51 6",57.2954,-2.36745
"AB51 7",57.1934,-2.52414
"AB51 8",57.4063,-2.43645
"AB52 6",57.3423,-2.60242
"AB53 4",57.54,-2.48426
"AB53 5",57.5732,-2.35339
"AB53 6",57.5204,-2.22131
"AB53 8",57.4732,-2.39465
"AB54 4",57.39,-2.85304
"AB54 6",57.4555,-2.67008
"AB54 7",57.5425,-2.68454
"AB54 8",57.4469,-2.78752
"AB55 4",57.4471,-3.12068
"AB55 5",57.5329,-2.96095
"AB55 6",57.5632,-2.94296
"AB56 1",57.6746,-2.96549
"AB56 4",57.6896,-2.86633
"AB56 5",57.6483,-2.94884
"DD1 1",56.4614,-2.9748
"DD1 2",56.4647,-2.96781
"DD1 3",56.4619,-2.96276
