,PO1,PD1,origin_lat,origin_lng,destination_lat,destination_lng
0,EH91AS,EH88PJ,55.935555,-3.200054,55.951029,-3.177986
1,G776AA,G467JN,55.772861,-4.332581,55.795893,-4.303929
2,G776AA,G784AS,55.772861,-4.332581,55.765806,-4.49048
3,G776AA,G775LR,55.772861,-4.332581,55.772568,-4.318848
4,G626PG,G775LR,55.941547,-4.320132,55.772568,-4.318848
5,G776AA,G466LX,55.772861,-4.332581,55.806644,-4.286978
6,G776AA,G767EB,55.772861,-4.332581,55.784327,-4.282688
7,G49XE,G767EB,55.875292,-4.249131,55.784327,-4.282688
8,G776AA,G776PS,55.772861,-4.332581,55.763453,-4.364217
9,G776AA,G776GN,55.772861,-4.332581,55.772537,-4.34651
10,G14NN,PA209HT,55.857335,-4.256993,55.830342,-5.050372
11,G14NN,PA209HT,55.857335,-4.256993,55.830342,-5.050372
12,G14NN,PA209HT,55.857335,-4.256993,55.830342,-5.050372
13,G14NN,PA209HT,55.857335,-4.256993,55.830342,-5.050372
14,G14NN,PA209HT,55.857335,-4.256993,55.830342,-5.050372
15,G14NN,PA209HT,55.857335,-4.256993,55.830342,-5.050372
16,G14NN,PA209HT,55.857335,-4.256993,55.830342,-5.050372
17,G14NN,G58AF,55.857335,-4.256993,55.852824,-4.267003
18,G626PB,G628AU,55.941386,-4.318169,55.945951,-4.3125
19,G207TY,G628AU,55.880749,-4.275698,55.945951,-4.3125
20,AB115RG,AB115RG,57.144369,-2.096076,57.144369,-2.096076
21,AB326WP,AB115RG,57.152791,-2.286874,57.144369,-2.096076
22,DD108JT,AB115RG,56.713944,-2.470357,57.144369,-2.096076
23,AB228DN,AB115RG,57.186429,-2.12512,57.144369,-2.096076
24,AB123NU,AB115RG,57.100535,-2.079407,57.144369,-2.096076
25,AB439QF,AB115RG,57.681585,-2.011154,57.144369,-2.096076
26,AB510DB,AB115RG,57.335247,-2.315371,57.144369,-2.096076
27,AB326SU,AB115RG,57.156604,-2.273183,57.144369,-2.096076
28,AB228QY,AB115RG,57.194837,-2.115998,57.144369,-2.096076
29,AB392FE,AB115RG,56.961271,-2.214706,57.144369,-2.096076
30,AB219AP,AB115RG,57.177273,-2.174615,57.144369,-2.096076
31,AB253TU,AB115RG,57.155069,-2.105741,57.144369,-2.096076
