PO1,PD1,distance(m),durations(s),asecnd(m),descent(m)
EH91AS,EH88PJ,3439.4,541.6,8.1,57.1
G776AA,G467JN,3352.6,288.1,0.1,72.6
G776AA,G784AS,14369.1,1060.1,158.4,140.7
G776AA,G775LR,1224.6,88.9,0.6,25.8
G626PG,G775LR,26424.5,1980.5,241.1,192.4
G776AA,G466LX,5302.3,537.4,10.5,94.0
G776AA,G767EB,4726.5,513.6,38.9,60.8
G49XE,G767EB,13022.6,1414.8,136.1,84.8
G776AA,G776PS,2707.7,235.3,33.1,7.7
G776AA,G776GN,2012.2,234.6,17.9,23.9
G14NN,PA209HT,64496.7,6995.0,393.3,355.9
G14NN,PA209HT,64496.7,6995.0,393.3,355.9
G14NN,PA209HT,64496.7,6995.0,393.3,355.9
G14NN,PA209HT,64496.7,6995.0,393.3,355.9
G14NN,PA209HT,64496.7,6995.0,393.3,355.9
G14NN,PA209HT,64496.7,6995.0,393.3,355.9
G14NN,PA209HT,64496.7,6995.0,393.3,355.9
G14NN,G58AF,1303.8,161.9,5.6,9.8
G626PB,G628AU,1142.0,175.5,23.0,6.3
G207TY,G628AU,9997.2,758.2,103.9,80.1
AB115RG,AB115RG,0,0,0,0
AB326WP,AB115RG,13500.3,1205.7,53.4,172.1
DD108JT,AB115RG,65322.6,2946.0,543.4,542.5
AB228DN,AB115RG,7310.0,783.9,50.3,121.9
AB123NU,AB115RG,7572.6,646.3,37.9,92.8
AB439QF,AB115RG,67211.7,3229.8,421.0,428.1
AB510DB,AB115RG,30432.7,1827.6,165.6,283.7
AB326SU,AB115RG,12764.0,1166.7,45.3,176.4
AB228QY,AB115RG,8166.0,845.6,27.7,90.9
AB392FE,AB115RG,24578.7,1346.8,196.7,207.8
AB219AP,AB115RG,7201.1,739.7,33.5,78.7
AB253TU,AB115RG,2435.8,286.7,4.7,19.8
AB245PE,AB115RG,1740.3,183.0,5.6,16.8
AB115RG,AB228QY,8139.5,860.8,91.3,27.7
AB115RG,AB326WP,12932.8,1188.3,174.3,55.2
AB115RG,AB392FE,24089.4,1304.7,204.5,198.9
AB115RG,AB245PE,1549.8,195.0,14.1,6.0
AB115RG,AB253TU,2167.3,270.5,19.6,5.5
AB115RG,DD108JT,65430.5,2952.5,544.0,543.0
DD108JD,DD108JT,553.3,69.6,1.7,5.3
AB115RG,AB326SU,12199.5,1146.7,178.4,49.2
AB115RG,AB439QF,67220.5,3243.2,433.4,423.6
AB115RG,AB123NU,7760.4,673.2,94.8,39.3
AB166RL,AB123NU,10356.1,1035.9,89.8,134.9
AB115RG,AB510DB,30341.0,1837.7,278.6,164.0
AB115RG,AB315JB,29433.8,1912.9,221.7,151.8
AB115RG,AB228DN,7016.3,808.7,112.7,36.8
FK14JA,FK14LS,1220.5,292.9,12.9,1.5
FK14JG,FK14LS,1134.2,272.2,12.1,1.9
FK14JA,FK14JG,328.7,78.9,3.6,0.3
KA91QL,KA111JT,16579.6,919.1,70.3,56.3
KA91QL,KA111JT,16579.6,919.1,70.3,56.3
KA91QL,KA111JT,16579.6,919.1,70.3,56.3
KW151JQ,KW151LB,861.0,88.5,0.1,22.0
HS12QY,HS12LR,658.5,78.8,11.5,0
HS12JA,HS12LR,588.4,61.4,7.2,1.3
HS12JA,HS12LR,588.4,61.4,7.2,1.3
HS12QY,HS12RE,274.3,30.3,0,3.1
HS20XP,HS12RE,2246.6,250.2,12.8,21.3
HS12QY,HS12BA,629.8,87.7,0,2.8
HS12DU,HS12BA,753.9,108.1,0,5.6
HS12QY,HS20LQ,12389.5,918.5,115.3,96.1
HS20LH,HS20LQ,1005.9,165.8,6.2,4.6
HS20JS,HS20LQ,1446.0,127.3,12.3,4.9
HS12QY,HS12UX,2238.8,216.3,25.3,4.2
HS12SL,HS12UX,1318.3,123.1,21.1,0
HS29ED,HS12UX,30016.1,1794.3,236.4,236.9
HS12QY,HS20BG,5211.0,454.7,33.4,24.8
HS12QY,HS20SH,32556.6,1797.3,249.3,229.0
HS20XA,HS20SH,11653.4,737.1,117.1,105.8
HS12LF,HS20SH,31938.4,1765.1,234.0,228.2
HS12QY,HS20BQ,4593.6,327.3,22.6,23.2
HS20BW,HS20BQ,2895.2,268.8,6.5,36.0
HS12QY,HS29NP,14363.3,964.3,121.2,121.1
HS12UX,HS29NP,14906.8,982.3,119.6,140.9
HS29DU,HS29NP,10403.3,724.1,76.4,144.3
HS29DU,HS29NP,10403.3,724.1,76.4,144.3
HS29NH,HS29NP,5704.7,393.4,54.0,66.2
HS12QY,HS12PS,1288.7,188.0,14.6,8.8
HS20QY,HS12PS,19983.9,1049.4,140.0,149.9
HS12QY,HS12YF,2356.8,287.8,28.7,17.1
HS20DX,HS12YF,2411.8,275.0,11.4,44.7
EH74EW,EH413AX,29611.8,1951.7,190.3,145.0
EH74EW,EH74HE,422.1,90.8,0.9,6.8
EH74EW,EH35LL,559.9,118.9,1.0,6.7
EH74EW,EH35BH,1203.4,223.4,18.3,9.7
EH74EW,EH36RH,724.8,110.8,9.2,0.7
EH41HL,EH36RH,1102.6,160.3,7.2,1.4
G741LL,G744BJ,2725.7,302.7,26.2,28.1
G720EL,G744BJ,8215.0,621.8,129.0,40.3
G720EL,G744BJ,8215.0,621.8,129.0,40.3
G720EL,G744BJ,8215.0,621.8,129.0,40.3
G741LL,G745AN,4716.7,441.2,24.5,39.6
G741LL,G718PB,14092.4,885.4,73.8,185.1
ML38NW,G718PB,5340.3,551.5,35.0,55.8
G741LL,G743SZ,3766.9,364.0,19.3,17.8
G743RF,G743SZ,2386.2,309.1,23.5,6.9
G741LL,ML30NQ,10674.9,754.0,37.4,142.8
G741LL,G758DB,1644.9,197.3,22.7,4.4
G758DB,G758DB,0,0,0,0
G758DB,G758DB,0,0,0,0
G758DB,G758DB,0,0,0,0
G741LL,G759GY,4981.8,555.1,59.1,34.7
G741LL,G759JN,4469.2,517.8,61.3,24.5
G741LL,G768BN,6907.4,547.9,29.5,115.1
PA48XQ,G768BN,17093.1,1410.9,135.1,55.4
G741LL,KA12QL,34027.2,1692.6,196.5,329.7
KA14HL,KA12QL,2087.7,190.3,14.7,4.3
G741LL,G776SR,13362.1,1013.2,109.3,183.2
G741LL,G741QX,2174.4,230.3,13.2,28.2
G745NY,G741QX,1229.3,178.0,3.0,10.3
G741LL,G743QE,5691.4,458.6,33.1,47.9
G741LL,ML39PS,9795.7,738.5,43.7,116.7
G741LL,G768LU,8302.3,768.4,32.0,126.5
G741LL,G758SA,740.6,110.9,3.1,3.9
G741LL,G741LL,0,0,0,0
G718PB,G741LL,14410.9,995.5,190.9,77.6
KA12QL,G741LL,33504.4,1629.8,330.4,201.0
G758DB,G741LL,1646.2,206.8,7.5,22.7
G758SA,G741LL,755.8,121.5,2.8,3.4
ML51QD,G741LL,19535.9,1459.8,224.3,138.9
G768BN,G741LL,6818.4,528.3,119.2,30.9
G741QX,G741LL,2173.3,230.2,27.9,14.1
G745AN,G741LL,4657.2,420.0,40.0,30.1
ML106EZ,G741LL,14040.7,938.2,88.0,109.7
G743SZ,G741LL,3072.2,363.9,25.2,24.9
G743RF,G741LL,5055.0,568.6,48.4,31.4
G759JN,G741LL,4650.8,542.9,23.4,63.5
G743QE,G741LL,4520.8,467.2,44.0,25.7
G759GY,G741LL,5080.4,572.6,33.2,60.3
ML39PS,G741LL,8959.5,740.5,119.1,41.8
G768LU,G741LL,8191.8,736.0,126.0,34.3
G432XU,G741LL,12660.6,1001.6,178.7,35.2
G741LL,G743RF,6225.5,560.0,35.9,54.0
G743SZ,G743RF,2386.2,309.1,4.4,24.0
G768HB,G767DH,1114.8,167.2,12.1,0
TD69BS,EH458DN,38369.6,2166.8,402.7,337.9
TD69BS,EH458DN,38369.6,2166.8,402.7,337.9
TD69BS,EH458DN,38369.6,2166.8,402.7,337.9
TD69BS,TD46HY,11215.8,759.9,125.4,119.7
TD69BS,TD69RQ,3340.8,352.8,36.2,29.8
EH151DF,TD69RQ,60049.7,2976.9,748.0,659.2
TD69BS,TD145EQ,66710.2,3484.4,564.7,620.3
TD69BS,TD13AT,5097.8,554.8,62.4,48.2
TD13JW,TD13AT,640.4,107.6,0,18.1
TD13BX,TD13AT,861.6,127.3,2.2,15.0
TD11JN,TD13AT,2016.9,361.5,9.5,44.1
TD69BS,KY111JE,96667.0,4398.9,1005.1,1058.8
EH39AL,KY111JE,22537.6,1913.6,223.1,252.7
EH39AL,KY111JE,22537.6,1913.6,223.1,252.7
EH39AL,KY111JE,22537.6,1913.6,223.1,252.7
DG73SQ,DG64RS,40205.3,2210.8,226.3,395.2
PA154RN,PA169AE,2579.5,226.2,35.2,7.6
PA154RN,PA191AF,14081.8,1023.4,176.8,144.3
PA154RN,PA191TJ,6528.8,675.3,109.3,61.6
EH52NJ,EH52XS,622.7,98.0,0.3,1.1
EH43SZ,EH52XS,2457.4,316.9,5.8,25.1
EH127JS,EH52XS,6922.0,809.2,84.5,87.7
EH64JL,EH52XS,3542.7,425.4,29.2,1.8
EH52HF,EH52XS,752.5,101.3,4.3,0
EH51AX,EH52XS,1611.2,206.0,13.5,0.3
KY118RF,EH52XS,25158.2,1607.6,223.1,256.4
KA308JR,KA239DD,11638.3,741.7,105.3,65.1
KA239DD,KA239DD,0,0,0,0
KA239DD,KA239DD,0,0,0,0
KA308JR,PA175BB,10904.0,904.2,166.1,117.6
KA308JR,KA308JZ,1620.5,171.3,11.1,12.3
KA308PG,KA308JZ,3483.6,345.6,25.1,22.5
KA308AL,KA308JZ,1911.5,187.7,17.6,11.3
KA308JR,KA308ER,1211.1,171.0,8.4,12.7
KA308ES,KA308ER,473.8,79.1,1.6,12.4
KA308AU,KA308ER,1442.1,191.9,14.3,12.1
KA308JR,KA290BB,3555.1,289.8,16.0,23.6
KA290AU,KA290BB,199.2,35.9,0.8,0
KA308JR,KA204DL,23706.4,1381.2,225.1,208.6
KA308JR,KA308PZ,1985.8,245.1,14.5,15.0
KA308JR,KA309AH,1140.9,188.5,6.5,9.8
AB392BL,AB392BD,289.1,46.9,0.9,1.3
AB392QD,AB392BD,233.3,37.6,0.3,0.1
AB392QD,AB392BD,233.3,37.6,0.3,0.1
AB392EE,AB392BD,1202.4,144.8,0,27.8
AB392EE,AB392BD,1202.4,144.8,0,27.8
AB392LB,AB392BD,775.8,136.7,2.4,13.6
AB392BL,AB392BT,186.1,30.6,0.3,1.3
ZE29AG,ZE29AB,1408.2,209.8,13.0,24.9
ZE29AA,ZE29AB,563.0,57.7,11.8,7.7
ZE29AA,ZE29AB,563.0,57.7,11.8,7.7
ZE29AB,ZE29AB,0,0,0,0
ZE29QQ,ZE29AB,23526.5,7185.3,275.7,271.6
ZE29AG,ZE29AA,845.2,152.1,1.2,13.9
ZE29AE,ZE29AA,1591.3,133.3,21.1,41.0
ZE29AE,ZE29AA,1591.3,133.3,21.1,41.0
ZE29AL,ZE29AA,3142.7,243.7,62.2,59.0
ZE29AL,ZE29AA,3142.7,243.7,62.2,59.0
ZE29AB,ZE29AA,563.0,57.7,4.8,20.7
ZE29AB,ZE29AA,563.0,57.7,4.8,20.7
ZE29AB,ZE29AA,563.0,57.7,4.8,20.7
EH216PQ,EH216SS,570.1,130.9,6.8,4.2
KA14NF,ML106QJ,21453.7,1638.1,255.5,62.9
G28BJ,G450AP,8467.9,962.0,88.9,30.6
G28BJ,G450AP,8467.9,962.0,88.9,30.6
G613BB,G37NY,9438.4,1056.1,61.8,98.6
G37NY,G37NY,0,0,0,0
EH309SQ,FK15HU,29003.9,1663.8,205.6,173.9
EH309SQ,EH288SR,11453.4,744.2,90.7,56.7
EH147ET,EH288SR,12467.8,937.8,77.0,226.5
DD21UG,DD21EB,1268.6,143.2,36.8,5.4
DD21UG,DD21EB,1268.6,143.2,36.8,5.4
DD21UG,DD21EB,1268.6,143.2,36.8,5.4
DD11DU,DD21EB,2068.2,239.3,25.0,4.2
DD21UG,DD52LU,9200.3,896.7,88.0,50.0
DD21UG,DD12AD,2939.8,360.4,32.9,13.1
DD14HP,DD12AD,2056.6,249.4,14.8,21.9
DD21UG,DD77LE,19454.1,1337.6,115.0,110.5
DD21UG,DD11RL,2543.3,303.2,27.5,11.0
PH29HP,DD11RL,45587.1,2204.6,289.7,289.3
DD13DY,DD11RL,1585.9,217.3,23.8,15.4
DD21UG,DD21QQ,3252.9,332.2,45.5,5.7
DD30NY,DD21QQ,7201.2,713.1,74.4,97.4
DD21UG,DD25LU,8633.4,661.1,114.9,24.0
DD13JT,DD25LU,10586.8,864.2,122.9,31.0
DD21UG,DD38BG,5524.0,545.6,117.9,19.9
DD46HP,DD38BG,2966.5,317.0,78.5,19.2
DD21UG,DD12PF,3364.2,438.1,65.8,15.8
DD21UG,DD12PF,3364.2,438.1,65.8,15.8
DD11UE,DD12PF,1985.1,283.3,45.8,8.8
IV519LU,IV519LU,0,0,0,0
IV519LU,IV519LU,0,0,0,0
ML55EA,ML54DQ,356.8,29.5,8.0,0
ML55EA,ML54DQ,356.8,29.5,8.0,0
ML55EA,ML55DD,971.1,150.8,6.3,10.3
EH39DD,EH39NA,393.5,65.1,0.2,0.6
PA238ER,PA238ER,0,0,0,0
EH209QY,EH218PT,12975.6,580.2,31.6,153.8
EH209QY,EH269BG,11899.5,718.3,160.3,119.2
EH209QY,EH221LH,7198.6,463.7,19.3,125.1
EH221AX,EH221LH,725.4,114.6,2.4,18.1
EH74AA,EH221LH,12362.2,1241.3,100.4,99.9
EH209QY,EH209LT,1769.4,254.7,11.9,8.9
EH209LA,EH209LT,217.6,52.2,0.1,0.4
EH209QY,EH178BN,1055.7,122.8,0.7,24.8
EH23AA,EH178BN,8584.5,1056.1,126.9,68.4
ZE10RD,ZE10AN,1659.2,173.7,23.4,30.4
ZE10RD,ZE10PJ,708.2,59.0,2.4,0.9
ZE10RD,ZE10PJ,708.2,59.0,2.4,0.9
ZE10BB,ZE10PJ,2507.0,222.3,35.0,31.0
ZE10DT,ZE10PJ,1627.0,131.0,15.5,25.0
ZE10BD,ZE10PJ,2008.3,171.3,25.8,16.7
ZE10ET,ZE10PJ,1447.2,115.2,21.3,32.2
ZE10FL,ZE10PJ,1912.2,188.3,32.1,23.6
ZE10RG,ZE10PJ,1337.8,126.6,2.6,14.0
ZE10NS,ZE10PJ,881.9,81.3,20.8,14.2
ZE10JL,ZE10PJ,1548.0,138.9,24.8,26.1
ZE29SB,ZE10PJ,8993.3,597.1,196.4,201.4
ZE10RD,ZE39JS,35505.3,2102.6,592.3,575.1
ZE10RD,ZE29BJ,no route found,,,
ZE10RD,ZE29BJ,no route found,,,
ZE10RD,ZE29BJ,no route found,,,
ZE10RD,ZE29BJ,no route found,,,
ZE10RD,ZE29BJ,no route found,,,
ZE29ST,ZE29BJ,no route found,,,
ZE10RD,ZE10PE,1359.8,96.4,15.7,14.8
ZE10SG,ZE10PE,2451.5,205.0,18.8,68.4
ZE29TY,ZE10PE,36159.8,2178.2,575.2,577.3
ZE10RD,ZE10LL,1885.0,149.2,22.1,27.8
ZE10NN,ZE10LL,2820.2,229.9,11.7,61.7
ZE10QS,ZE10LL,1598.5,158.5,13.9,28.7
ZE10PD,ZE10LL,1233.4,93.4,10.5,22.2
ZE10NU,ZE10LL,2976.3,259.9,15.6,75.2
ZE10RD,ZE29LJ,14164.7,934.2,362.8,298.3
ZE29LQ,ZE29LJ,4602.4,319.2,107.5,35.9
ZE29LJ,ZE29LJ,0,0,0,0
ZE29LJ,ZE29LJ,0,0,0,0
ZE29LJ,ZE29LJ,0,0,0,0
ZE29GJ,ZE29LJ,1808.4,151.4,69.5,20.4
ZE10LZ,ZE29LJ,13837.9,950.5,357.8,287.3
ZE29AX,ZE29LJ,no route found,,,
ZE10NS,ZE29LJ,13229.8,883.9,355.7,286.7
