J1,PO1,PD1,UTC_2021,UTC_1970,ToD,Google_DepTime,car_freeflow_TravelTime_sec,car_InTraffic_TravelTime_sec,car_distance_m,car_mode,car_status,PT_TravelTime_sec,PT_distance_m,PT_mode,PT_status,Walk_TravelTime_sec,Walk_distance_m,Walk_mode,Walk_status,Bicycle_TravelTime_sec,Bicycle_Distance_m,Bicycle_mode,Bicycle_status,gh_car_sec,gh_pt_sec,gh_foot_sec,gh_bike_sec
1,EH91AS,EH88PJ,3/10/21 8:00,1/1/70 0:00,8:00:00 AM,1615363200,609,586,3398,driving,OK,1534,4053,transit,OK,2059,2863,walking,OK,628,3257,bicycling,OK,387,1403,2025,692
2,G776AA,G467JN,3/10/21 12:50,1/1/70 0:00,12:50:00 PM,1615380600,339,383,3642,driving,OK,752,3982,transit,OK,2450,3527,walking,OK,493,3535,bicycling,OK,217,686,2872,704
3,G14NN,PA209HT,3/10/21 15:30,1/1/70 0:00,3:30:00 PM,1615390200,6470,6527,65173,driving,OK,8023,62737,transit,OK,68085,93308,walking,OK,14257,66506,bicycling,OK,6715,10728,42707,15300
4253,G14NN,PA209HT,3/23/21 15:30,1/1/70 0:00,3:30:00 PM,1616513400,6438,6500,65173,driving,OK,7768,62856,transit,OK,68086,93308,walking,OK,14262,66506,bicycling,OK,6715,10728,42707,15300
5781,G14NN,PA209HT,3/23/21 15:30,1/1/70 0:00,3:30:00 PM,1616513400,6438,6500,65173,driving,OK,7768,62856,transit,OK,68078,93308,walking,OK,14262,66506,bicycling,OK,6715,10728,42707,15300
13002,G14NN,PA209HT,4/22/21 15:30,1/1/70 0:00,3:30:00 PM,1619109000,6470,6516,65164,driving,OK,8340,62644,transit,OK,67912,93210,walking,OK,14075,66408,bicycling,OK,6715,10728,42707,15300
14163,G14NN,PA209HT,4/23/21 15:30,1/1/70 0:00,3:30:00 PM,1619195400,6470,6506,65164,driving,OK,8340,62644,transit,OK,67912,93210,walking,OK,14075,66408,bicycling,OK,6715,10728,42707,15300
15746,G14NN,PA209HT,4/23/21 15:30,1/1/70 0:00,3:30:00 PM,1619195400,6470,6506,65164,driving,OK,8340,62644,transit,OK,67912,93210,walking,OK,14075,66408,bicycling,OK,6715,10728,42707,15300
17405,G14NN,PA209HT,8/4/21 15:30,1/1/70 0:00,3:30:00 PM,1628094600,6458,6665,64961,driving,OK,8340,62644,transit,OK,67910,93210,walking,OK,14057,66441,bicycling,OK,6715,10728,42707,15300
4,G626PB,G628AU,3/10/21 16:00,1/1/70 0:00,4:00:00 PM,1615392000,206,217,971,driving,OK,446,1588,transit,OK,707,864,walking,OK,303,864,bicycling,OK,102,601,601,231
5,AB115RG,AB115RG,3/10/21 12:00,1/1/70 0:00,12:00:00 PM,1615377600,0,0,0,driving,OK,0,0,transit,OK,0,0,walking,OK,0,0,bicycling,OK,0,0,0,0
6,FK14JA,FK14LS,3/10/21 17:00,1/1/70 0:00,5:00:00 PM,1615395600,250,251,1483,driving,OK,989,1316,transit,OK,989,1316,walking,OK,282,1316,bicycling,OK,146,743,743,298
7,KA91QL,KA111JT,3/10/21 20:05,1/1/70 0:00,8:05:00 PM,1615406700,956,935,16472,driving,OK,5801,29658,transit,OK,11945,16093,walking,OK,3336,17165,bicycling,OK,743,2356,12196,3772
11149,KA91QL,KA111JT,4/22/21 20:05,1/1/70 0:00,8:05:00 PM,1619125500,977,947,16547,driving,OK,4097,25446,transit,OK,11897,16033,walking,OK,3284,16932,bicycling,OK,743,2356,12196,3772
13918,KA91QL,KA111JT,4/22/21 20:05,1/1/70 0:00,8:05:00 PM,1619125500,977,950,16547,driving,OK,4097,25446,transit,OK,11897,16033,walking,OK,3284,16932,bicycling,OK,743,2356,12196,3772
8,KW151JQ,KW151LB,3/10/21 10:10,1/1/70 0:00,10:10:00 AM,1615371000,142,150,1023,driving,OK,514,746,transit,OK,514,746,walking,OK,248,874,bicycling,OK,52,556,608,241
9,HS12QY,HS12LR,3/10/21 16:00,1/1/70 0:00,4:00:00 PM,1615392000,120,128,868,driving,OK,595,751,transit,OK,595,751,walking,OK,231,803,bicycling,OK,62,472,501,143
10,EH74EW,EH413AX,3/10/21 13:00,1/1/70 0:00,1:00:00 PM,1615381200,2151,2282,29508,driving,OK,4259,28199,transit,OK,20395,27325,walking,OK,6529,32695,bicycling,OK,1533,3736,22578,7061
